"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
232,"NCT02735707","Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia","REMAP-CAP","Recruiting","No Results Available","Community-acquired Pneumonia, Influenza, COVID-19","Drug: Fixed-duration Hydrocortisone|Drug: Shock-dependent hydrocortisone|Drug: Ceftriaxone|Drug: Moxifloxacin or Levofloxacin|Drug: Piperacillin-tazobactam|Drug: Ceftaroline|Drug: Amoxicillin-clavulanate|Drug: Macrolide administered for 3-5 days|Drug: Macrolide administered for up to 14 days|Drug: Five-days oseltamivir|Drug: Ten-days oseltamivir|Drug: Lopinavir/ritonavir|Drug: Hydroxychloroquine|Drug: Hydroxychloroquine + lopinavir/ritonavir|Drug: Interferon-β1a|Drug: Anakinra","All-cause mortality|Days alive and outside of ICU|ICU Mortality|ICU length of stay|Hospital length of stay|Ventilator free days|Organ failure free days|Health-related Quality of life assessment|Proportion of intubated patients who receive a tracheostomy|Destination at time of hospital discharge|Readmission to the index ICU during the index hospitalization","MJM Bonten|Berry Consultants|Australian and New Zealand Intensive Care Research Centre|Medical Research Institute of New Zealand|Unity Health|UMC Utrecht","All","18 Years and older   (Adult, Older Adult)","Phase 4","6800","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","U1111-1189-1653|2015-002340-14|602525|16/631|APP1101719|158584","April 11, 2016","December 2021","June 2022","April 13, 2016",,"March 30, 2020","Wollongong Hospital, Sidney, New South Wales, Australia|St Vincent's Hospital Sydney, Sydney, New South Wales, Australia|Royal Prince Alfred Hospital, Sydney, New South Wales, Australia|Royal North Shore Hospital, Sydney, New South Wales, Australia|Nepean Hospital, Sydney, New South Wales, Australia|Royal Darwin Hospital,, Darwin, Northern Territory, Australia|Sunshine Coast University Hospital, Birtinya, Queensland, Australia|Princess Alexandra Hospital, Brisbane, Queensland, Australia|Logan Hospital, Brisbane, Queensland, Australia|Toowoomba Hospital, Toowoomba, Queensland, Australia|The Queen Elizabeth Hospital, Adelaide, South Australia, Australia|Bendigo Hospital, Bendigo, Victoria, Australia|University Hosptial Geelong, Geelong, Victoria, Australia|The Alfred Hospital, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|St Vincent's Hospital Melbourne, Melbourne, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Sir Charles Gairdner Hospital, Perth, Western Australia, Australia|St John of God Hospital Midland, Perth, Western Australia, Australia|Fiona Stanley Hospital, Perth, Western Australia, Australia|St John of God Hospital Murdoch, Perth, Western Australia, Australia|AZ Sint-Jan, Brugge, Belgium|CHU de Charleroi - Hôpital Civil Marie Curie, Charleroi, Belgium|Universitair Ziekenhuis Antwerp, Edegem, Belgium|Universitair Ziekenhuis Gent, Gent, Belgium|St. Joseph's Healthcare Hamilton, Hamilton, Canada|Centre Hospitalier de l'Université de Sherbrooke, Sherbrooke, Canada|St. Michael's Hospital Unity Health Toronto, Toronto, Canada|General County Hospital Požega, Požega, Croatia|University Hospital Centre Zagreb, Zagreb, Croatia|University Hospital for Infectious Diseases, Zagreb, Croatia|Charité - Universitätsmedizin Berlin - Infektiologie und Pneumologie, Berlin, Germany|Charité - Universitätsmedizin Berlin - Nephrologie, Berlin, Germany|Vivantes Klinikum Neukölln, Berlin, Germany|Universitätsklinikum Köln, Cologne, Germany|Universitätsklinikum Frankfurt, Frankfurt, Germany|University Medical Center Hamburg-Eppendorf (UKE), Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Universitätsklinikum Jena, Jena, Germany|Universitätsklinikum Leipzig, Leipzig, Germany|Universitäts Klinikum Tübingen, Tübingen, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|Jósa András County Hospital, Nyíregyháza, Hungary|Csolnoky Ferenc Kórház - Veszprem County Hospital, Veszprém, Hungary|Almási Balogh Pál Kórház, Ózd, Hungary|Beaumont Hospital, Dublin, Ireland|St. Vincent's University Hospital, Dublin, Ireland|University Hospital Galway, Galway, Ireland|Meander Medisch Centrum, Amersfoort, Netherlands|Jeroen Bosch Ziekenhuis, Den Bosch, Netherlands|Martini Hospital Groningen, Groningen, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|North Shore Hospital, Auckland, New Zealand|CVICU, Auckland City Hospital, Auckland, New Zealand|DCCM, Auckland City Hospital, Auckland, New Zealand|Middlemore Hospital, Auckland, New Zealand|Christchurch Hospital, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand|Rotorua Hospital, Rotorua, New Zealand|Tauranga Hospital, Tauranga, New Zealand|Wellington Regional Hospital, Wellington, New Zealand|Whangarei Hospital, Whangarei, New Zealand|Centro Hospitalar do Medio Tejo, Abrantes, Portugal|Hospital Lusíadas Lisbon, Lisboa, Portugal|Clinical Hospital of Infectious and Tropical Diseases ""Dr. Victor Babes"", Bucharest, Romania|Institut Hospital del Mar d'Investigacions Mèdiques, Barcelona, Spain|Hospital Universitario Reina Sofia, Córdoba, Spain|Basingstoke and North Hampshire Hospital, Basingstoke, United Kingdom|Southmead Hospital, Bristol, United Kingdom|University Hospital Coventry, Coventry, United Kingdom|Darlington Memorial Hospital, Darlington, United Kingdom|University Hospital of North Durham, Durham, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Maidstone Hospital - Maidstone and Tunbridge Wells NHS Trust, Maidstone, United Kingdom|The James Cook University Hospital, Middlesbrough, United Kingdom|Milton Keynes University Hospital, Milton Keynes, United Kingdom|Northampton General Hospital, Northampton, United Kingdom|Queen's Medical Centre - Nottingham University Hospitals NHS Trust, Nottingham, United Kingdom|Poole Hospital NHS Foundation Trust, Poole, United Kingdom|Queen Alexandra Hospital - Portsmouth Hospitals NHS Trust, Portsmouth, United Kingdom|Royal Berkshire Hospital, Reading, United Kingdom|University Hospital of North Tees, Stockton-on-Tees, United Kingdom|Royal Cornwall Hospital, Truro, United Kingdom|Tunbridge Wells Hospital - Maidstone and Tunbridge Wells NHS Trust, Tunbridge Wells, United Kingdom|York Hospital, York, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02735707"
233,"NCT04327505","Safety and Efficacy of Hyperbaric Oxygen for ARDS in Patients With COVID-19","COVID-19-HBO","Not yet recruiting","No Results Available","Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Cytokine Storm|Infection Viral","Drug: Hyperbaric oxygen","PO2/FiO2 (Safety)|PO2/FiO2 (Efficacy)|Early Warning Score (NEWS) (Safety)|Early Warning Score (NEWS) (Efficacy)|Immunological response (Efficacy)|Mechanical ventilation (Efficacy)|SAE|Serious ADR|AE|Oxygen dose|Pulmonary CT (low-dose CT)|Chest X-ray|Chest ultrasound|Secondary infections|Mortality|ICU free days|ICU mortality|Hospital mortality|Micro RNA plasma (Biomarker)|MicroRNA/RNA PBMC (Explanatory)|Immunological response (Explanatory)|Viral load","Karolinska University Hospital|Karolinska Institutet|University of California, San Diego|Blekinge County Council Hospital","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 2|Phase 3","200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","K-2020-2611|2020-001349-37|4-1199/2020","April 25, 2020","October 31, 2021","December 31, 2022","March 31, 2020",,"March 31, 2020",,,"https://ClinicalTrials.gov/show/NCT04327505"
234,"NCT04256395","Efficacy of a Self-test and Self-alert Mobile Applet in Detecting Susceptible Infection of COVID-19","COVID-19","Recruiting","No Results Available","Susceptibility to Viral and Mycobacterial Infection","Other: mobile internet survey on self-test","positive number diagnosed by national guideline in the evaluated population|distribution map of evaluated people|Effect of medical guidance by designated feedback questionnaire|mental scale of relief the mental anxiety and avoid unnecessary outpatient","Beijing Tsinghua Chang Gung Hospital|Institute for precision medicine of Tsinghua University|Institute for artificial intelligent of Tsinghua University|Chinese Medical Doctor Association|Institute for network behavior of Tsinghua University|school of clinical medicine of Tsinghua University","All","Child, Adult, Older Adult",,"300000","Other","Observational","Observational Model: Other|Time Perspective: Prospective","RWS-BTCH-002","February 1, 2020","July 31, 2020","July 31, 2020","February 5, 2020",,"February 20, 2020","Beijing Tsinghua Changgung Hospital, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04256395"
235,"NCT04325919","Coronavirus Disease 2019 (COVID-19) Study of Hospitalized Patients in Hong Kong",,"Recruiting","No Results Available","Coronavirus Infections","Other: No intervention","Clinical|Virological|Microbiological","Chinese University of Hong Kong","All","18 Years and older   (Adult, Older Adult)",,"170","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","COVID-19 study 2020.076","February 24, 2020","February 28, 2021","June 17, 2021","March 30, 2020",,"March 30, 2020","Prince of Wales Hospital, Sha Tin, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04325919"
236,"NCT04324866","Prevalence and Incidence of COVID-19 Infection in Patients With Chronic Plaque Psoriasis on Immunosuppressant Therapy",,"Not yet recruiting","No Results Available","Coronavirus Infection","Diagnostic Test: Nasopharyngeal swab","Point prevalence of COVID-19 infection|Incidence of COVID-19 infection|Percentage of subjects presenting fever or respiratory symptoms|Evaluate the relationship between COVID-19 infection and chronic pharmacological treatments|Evaluate the relationship between COVID-19 infection and comorbid medical conditions","Universita di Verona|Azienda Ospedaliera Universitaria Integrata Verona","All","18 Years to 75 Years   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Gisondi 4","April 1, 2020","November 2020","December 2020","March 27, 2020",,"March 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04324866"
237,"NCT04305457","Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID-19","NoCovid","Recruiting","No Results Available","Coronavirus Infections|Pneumonia, Viral|Acute Respiratory Distress Syndrome","Drug: Nitric Oxide","Reduction in the incidence of patients with mild/moderate COVID-19 requiring intubation and mechanical ventilation|Mortality|Time to clinical recovery","Massachusetts General Hospital|Xijing Hospital|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico","All","18 Years and older   (Adult, Older Adult)","Phase 2","240","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NOgas mildCOVID-19","March 21, 2020","April 1, 2021","April 1, 2022","March 12, 2020",,"April 3, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04305457"
238,"NCT04324463","Anti-Coronavirus Therapies to Prevent Progression of Coronavirus Disease 2019 (COVID-19) Trial","ACT COVID19","Not yet recruiting","No Results Available","Coronavirus|Severe Acute Respiratory Syndrome","Drug: Azithromycin|Drug: Chloroquine","Outpatients: Hospital Admission or Death|Inpatients: Invasive mechanical ventilation or mortality","Population Health Research Institute","All","18 Years and older   (Adult, Older Adult)","Phase 3","1500","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PHRI.ACT.COVID19","April 1, 2020","September 30, 2020","December 31, 2020","March 27, 2020",,"March 27, 2020","Hamilton Health Sciences, Hamilton, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04324463"
239,"NCT04320277","Baricitinib in Symptomatic Patients Infected by COVID-19: an Open-label, Pilot Study.","BARI-COVID","Recruiting","No Results Available","Pharmacological Action","Drug: Baricitinib","The percentage of patients requiring transfer to ICU as compared with the rate of transfers observed in controls.|The percentage of patients achieving the remission; CRP, IL-6 and TNFα values at baseline and during the treatment course; the number of AEs.","Hospital of Prato","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 3","60","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HPrato-3","March 16, 2020","April 30, 2020","April 30, 2020","March 24, 2020",,"March 24, 2020","Fabrizio Cantini, Prato, Tuscany, Italy",,"https://ClinicalTrials.gov/show/NCT04320277"
240,"NCT04327570","In-depth Immunological Investigation of COVID-19.","COntAGIouS","Not yet recruiting","No Results Available","Coronavirus Infections","Other: Patient sampling","Clinical Features|Immune host response at systemic level|Immune host response at local level|Host genetic variation|Comparison severe and non-severe COVID-19 hospitalised patients|Correlation of findings with outcome|Correlation of immune profiling - microbiome","Universitaire Ziekenhuizen Leuven","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","COntAGIouS","March 27, 2020","September 30, 2020","September 30, 2020","March 31, 2020",,"March 31, 2020",,,"https://ClinicalTrials.gov/show/NCT04327570"
241,"NCT04333368","Cell Therapy Using Umbilical Cord-derived Mesenchymal Stromal Cells in SARS-CoV-2-related ARDS","STROMA-CoV2","Not yet recruiting","No Results Available","Severe Acute Respiratory Syndrome Coronavirus 2|Severe Acute Respiratory Distress Syndrome","Biological: Umbilical cord Wharton's jelly-derived human|Other: NaCl 0.9%","Respiratory efficacy evaluated by the increase in PaO2/FiO2 ratio from baseline to day 7 in the experimental group compared with the placebo group|Lung injury score|Oxygenation index|In-hospital mortality|Mortality|Ventilator-free days|Number of days between randomization and the first day the patient meets weaning criteria o Number of days between randomization and the first day the patient meets PaO2/FiO2 > 200 (out of a prone positioning session)|Cumulative use of sedatives|Cumulative duration of use of sedatives|Cumulative duration of use of neuromuscular blocking agents (other than used for intubation)|Cumulative use of neuromuscular blocking agents (other than used for intubation)|ICU-acquired weakness and delirium|Treatment-induced toxicity rate and adverse events up to day 28|Quality of life at one year (EQ5D-3L quality of life questionnaire)|Measurements of plasmatic cytokines (IL1, IL6, IL8, TNF-alpha, IL10, TGF-beta, sRAGE, Ang2) level|Anti-HLA antibodies plasmatic dosage","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","APHP200395|2020-001287-28","April 1, 2020","June 30, 2020","May 31, 2021","April 3, 2020",,"April 3, 2020","Hôpital Pitié-Salpêtrière - APHP, Paris, France|Hôpital Européen Georges Pompidou - APHP, Paris, France",,"https://ClinicalTrials.gov/show/NCT04333368"
242,"NCT04325867","Integrated Distance Management Strategy for Patients With Cardiovascular Diseases in the Context of COVID-19","eCardioCovid19","Recruiting","No Results Available","Angina Pectoris|Acute Coronary Syndrome|Coronary Syndrome|Coronary Artery Disease|Angioplasty|Stent Restenosis|Hypertension|Heart Failure, Systolic|Depression, Anxiety|Covid-19|Isolation, Social","Other: Tele-medicine platform","Providing a special electronic platform (e-health) for remote managing cardiovascular outpatients|Number of patients included in this platform|Number of consultations/sessions given","Professor Adrian Covic|Medical Sciences Academy - Romania|Victor Babes Clinical Hospital of Infectious Diseases - Bucharest|Grigore T. Popa University of Medicine and Pharmacy","All","Child, Adult, Older Adult","Not Applicable","200","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","GTP0032","March 31, 2020","October 1, 2020","October 1, 2020","March 30, 2020",,"April 1, 2020","Medical Sciences Academy, Bucharest, Romania|University of Medicine and Pharmacy Gr T Popa, Iasi, Romania",,"https://ClinicalTrials.gov/show/NCT04325867"
243,"NCT04323787","Viral Infection and Respiratory Illness Universal Study[VIRUS]: COVID19 Registry","VIRUS","Recruiting","No Results Available","Coronavirus","Other: observational","ICU and hospital mortality of COVID-19 patients|30 days mortality","Mayo Clinic","All","Child, Adult, Older Adult",,"50000","Other","Observational","Observational Model: Cohort|Time Perspective: Other","20-002610","March 30, 2020","April 30, 2021","April 30, 2021","March 27, 2020",,"April 3, 2020","Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Society of Critical Care Medicine (150+ sites), Chicago, Illinois, United States|Rahul Kashyap, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04323787"
244,"NCT04338100","Point Of Care UltraSonography for Risk-stratification of COVID-19 Patients","POCUSCO","Not yet recruiting","No Results Available","COVID|Coronavirus Infection","Procedure: Follow-up at 14 days","Risk of unfavourable outcome at D14|Risk of unfavourable outcome over time|Risk-stratification threshold values|Adding value of POCUS score to previous risk-stratification clinical rules|POCUS score and patient clinical status at D14|POCUS and CT scan correlation|POCUS versus CT scan risk-stratification performances|POCUS score evolution performances","University Hospital, Angers","All","18 Years and older   (Adult, Older Adult)",,"300","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","2020-A00782-37","April 6, 2020","December 29, 2020","January 29, 2021","April 8, 2020",,"April 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04338100"
